dak_tab,dak_section,dak_data_element_id,dak_data_element_name,dak_answer_of,dak_data_type,dak_ciel,dak_read_date,decision,layer,domain,liberiaemr_variable,concept_uuid_source,form_field,status,notes
Labor and delivery,,LBR.LD.DE.24,Anaesthesia,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.25,None,Anaesthesia,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.26,Local,Anaesthesia,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.27,General,Anaesthesia,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.28,Repair,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.29,Yes,Repair,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,,LBR.LD.DE.30,No,Repair,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Third Stage,LBR.LD.DE.31,Active management,,Coding,163452,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Third Stage,LBR.LD.DE.32,Yes,Active management,Code,163452,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Third Stage,LBR.LD.DE.33,No,Active management,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Third Stage,LBR.LD.DE.34,Medication,,String,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Third Stage,LBR.LD.DE.35,Medication time,,Time,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Third Stage,LBR.LD.DE.36,Dose,,Quantity,165169,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Third Stage,LBR.LD.DE.37,Placenta delivery time,,Time,161012,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Third Stage,LBR.LD.DE.38,Placenta status,,Coding,166267,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Third Stage,LBR.LD.DE.39,Complete,Placenta status,Code,163455,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Third Stage,LBR.LD.DE.40,Incomplete,Placenta status,Code,163456,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Third Stage,LBR.LD.DE.41,Blood loss amount,,Coding,161928,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Third Stage,LBR.LD.DE.42,Small (Less than 250 cc),Blood loss amount,Code,160565,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Third Stage,LBR.LD.DE.43,Moderate (250–499 cc),Blood loss amount,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Third Stage,LBR.LD.DE.44,Large (More than 500 cc),Blood loss amount,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Baby,LBR.LD.DE.45,Weight,,Quantity,,2026-07-30,unassigned,,,,,,pending,"Duplicate of LBR.LD.DE.99 'Birth weight', which carries CIEL 5916 while this one carries none. Resolve to ONE data element before implementing."
Labor and delivery,Baby,LBR.LD.DE.46,Length,,Quantity,5090,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.height.uuid,CIEL 5090,,review,"DAK maps newborn Length to CIEL 5090, aliased in content-common as var.concept.ciel.height.uuid (a vitals concept). Same CIEL term, different clinical use — confirm before reusing the vitals alias here."
Labor and delivery,Baby,LBR.LD.DE.47,Sex,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Baby,LBR.LD.DE.48,Male,Sex,Code,167865,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Baby,LBR.LD.DE.49,Female,Sex,Code,167866,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Baby,LBR.LD.DE.50,Baby presentation,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Baby,LBR.LD.DE.51,Vertex,Baby presentation,Code,160091,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Baby,LBR.LD.DE.52,Breech,Baby presentation,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Baby,LBR.LD.DE.53,Other,Baby presentation,Code,5622,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,APGAR,LBR.LD.DE.54,Assessment time,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,APGAR,LBR.LD.DE.55,1 minute,Assessment time,Code,159603,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,APGAR,LBR.LD.DE.56,5 minutes,Assessment time,Code,159604,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,APGAR,LBR.LD.DE.57,Colour (Appearance),,Integer,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,APGAR,LBR.LD.DE.58,Heart rate (Pulse),,Integer,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,APGAR,LBR.LD.DE.59,Muscle tone (Activity),,Integer,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,APGAR,LBR.LD.DE.60,Reflex irritability (Grimace),,Integer,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,APGAR,LBR.LD.DE.61,Respiration (Breathing),,Integer,170343,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,APGAR,LBR.LD.DE.62,Total APGAR score,,Integer,1504,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,APGAR,LBR.LD.DE.63,Time of delivery,,Time,161012,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Fourth Stage Monitoring for Woman and Baby,LBR.LD.DE.64,Complications of woman,,Coding,120240,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Fourth Stage Monitoring for Woman and Baby,LBR.LD.DE.65,None,Complications of woman,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Fourth Stage Monitoring for Woman and Baby,LBR.LD.DE.66,Other,Complications of woman,Code,5622,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Fourth Stage Monitoring for Woman and Baby,LBR.LD.DE.67,Complications of baby,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Fourth Stage Monitoring for Woman and Baby,LBR.LD.DE.68,None,Complications of baby,Code,1107,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Fourth Stage Monitoring for Woman and Baby,LBR.LD.DE.69,Other,Complications of baby,Code,5622,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Fourth Stage Monitoring for Woman and Baby,LBR.LD.DE.70,Monitoring frequency,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Fourth Stage Monitoring for Woman and Baby,LBR.LD.DE.71,Every 15 minutes for first 2 hours,Monitoring frequency,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Fourth Stage Monitoring for Woman and Baby,LBR.LD.DE.72,Every 30 minutes for 1 hour,Monitoring frequency,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Fourth Stage Monitoring for Woman and Baby,LBR.LD.DE.73,Observation time,,DateTime,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Woman,LBR.LD.DE.74,Blood pressure (BP),,Quantity,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Woman,LBR.LD.DE.75,Pulse,,Quantity,5087,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.pulse.uuid,CIEL 5087,,verified,DAK CIEL code matches the alias already declared in variables.properties.
Labor and delivery,Woman,LBR.LD.DE.76,Fundus,,String,165298,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Woman,LBR.LD.DE.77,Bleeding,,String,147241,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Woman,LBR.LD.DE.78,Bladder,,String,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Baby,LBR.LD.DE.79,Breathing,,Boolean,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Baby,LBR.LD.DE.80,Suck,,Boolean,162515,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Baby,LBR.LD.DE.81,Temperature status,,Coding,5088,2026-07-30,unassigned,,,,,,conflict,"DAK maps a CODED element (Warm/Cold) to CIEL 5088, which is numeric Temperature. Datatype conflict — do not implement as mapped; needs a coded term or a numeric reading."
Labor and delivery,Baby,LBR.LD.DE.82,Warm,Temperature status,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Baby,LBR.LD.DE.83,Cold,Temperature status,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Baby,LBR.LD.DE.84,Birth attendant,,String,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Baby,LBR.LD.DE.85,Labor notes,,String,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Delivery Record,LBR.LD.DE.86,Date,,Date,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Delivery Record,LBR.LD.DE.87,Time,,Time,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Delivery Record,LBR.LD.DE.88,Place,,String,163774,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.89,Length of labour,,Quantity,1503,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.90,Attended by,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Delivery Record,LBR.LD.DE.91,Certified Midwife (CM),Attended by,Code,1578,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.92,Registered Nurse (RN),Attended by,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Delivery Record,LBR.LD.DE.93,Medical Doctor (MD),Attended by,Code,162591,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.94,Other,Attended by,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Delivery Record,LBR.LD.DE.95,Type of delivery,,Coding,5630,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.delivery-mode.uuid,CIEL 5630,,verified,DAK CIEL code matches the alias already declared in variables.properties. Note LBR.LD.DE.12 'Delivery method' duplicates this element.
Labor and delivery,Delivery Record,LBR.LD.DE.96,Sex,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Delivery Record,LBR.LD.DE.97,Male,Sex,Code,167865,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.98,Female,Sex,Code,167866,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.99,Birth weight,,Quantity,5916,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.100,Above 2500 g,Birth weight category,Code,164444,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.101,Below 2500 g,Birth weight category,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Delivery Record,LBR.LD.DE.102,APGAR score,,Integer,1504,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.103,Breastfeeding status at 1 month,,Coding,164819,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.104,Yes,Breastfeeding status at 1 month,Code,5526,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Labor and delivery,Delivery Record,LBR.LD.DE.105,No,Breastfeeding status at 1 month,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Delivery Record,LBR.LD.DE.106,Partial,Breastfeeding status at 1 month,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Labor and delivery,Delivery Record,LBR.LD.DE.107,LLIN received after delivery,,Boolean,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
PNC,,EMR.PND.DE1,Full Name,,String,1593,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
PNC,,EMR.PND.DE2,MRN,,Quantity,163530,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
PNC,,EMR.PND.DE3,Age,,Quantity,164168,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
PNC,,EMR.PND.DE4,Parity,,,1053,2026-08-18,reuse-ciel,mch,concepts,var.concept.ciel.parity.uuid,1053AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL 1053,verified,Reuses the CIEL Numeric/Question concept loaded before Initializer; the rejected local duplicate is not declared.
PNC,,EMR.PND.DE5,Date,,Date,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
PNC,,EMR.PND.DE6,Infant's date of birth,,Date,164802,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
PNC,,EMR.PND.DE7,Infant's sex,,Coding,166025,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
PNC,,EMR.PND.DE8,Post-partum care,,Coding,1623,2026-08-18,reuse-local,national,concepts,var.concept.national.post-partum-care.uuid,1659ca4e-56a1-4dda-8668-8e9a0dcc571e,,verified,Existing national question retained and extended to the four clinically approved PPC contacts.
PNC,,EMR.PND.DE9,PPC 1: Received within 24hrs,Post-partum care,Code,,2026-08-18,reuse-local,national,concepts,var.concept.national.ppc-1-received-within-24hrs.uuid,0717361a-8470-42ff-b457-f02eb48b432e,,verified,Existing stable answer retained.
PNC,,EMR.PND.DE10,PPC 2: Received within 7 days,Post-partum care,Code,,2026-08-18,local,national,concepts,var.concept.national.ppc-2-received-within-7-days.uuid,3a981f7d-2691-469d-921c-470e39a74cb3,,verified,Approved local answer; proposed audit UUID was free across main and both ANC branches.
PNC,,EMR.PND.DE11,PPC 3: Received within 28 days,Post-partum care,Code,,2026-08-18,local,national,concepts,var.concept.national.ppc-3-received-within-28-days.uuid,ca6a3b18-00a4-4320-bc2d-f7ff8350ce72,,verified,Approved local answer; proposed audit UUID was free across main and both ANC branches.
PNC,,EMR.PND.DE12,PPC 4: Received within 42 days,Post-partum care,Code,,2026-08-18,local,national,concepts,var.concept.national.ppc-4-received-within-42-days.uuid,820b6a3b-216a-46e0-8f07-b19e93336aa7,,verified,Approved local answer; proposed audit UUID was free across main and both ANC branches.
PNC,,EMR.PND.DE13,Place of Delivery,,Coding,,2026-08-18,reuse-local,national,concepts,var.concept.national.place-of-delivery.uuid,68bcf423-25ab-48a5-8c0e-5bd1ee6b7e02,,verified,Existing national question retained; answers are local Home 636aece0-5ab8-4e95-b491-192c3349cd79 and runtime-loaded CIEL 1537 Health facility 1537AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA.
PNC,,EMR.PND.DE14,Complications,,Coding,144438,2026-08-18,local,mch,concepts,var.concept.pnc.complications.uuid,0576b7e5-8326-4b16-ba9b-0b6016bdd11c,,verified,Terminology FSN is Maternal Postnatal Complications to avoid collision with the unrelated demo surgical Misc/Text concept 64fe56e6-5b52-4cdb-adc2-b6d50bfdee63; Form Builder display label remains Complications. Live workbook value set implemented exactly using verified CIEL concepts plus exact local MCH concepts. The workbook contains Pre-eclampsia twice; traceability preserves that source duplication here while the coded concept answer set contains CIEL 129251 once. Other pregnancy or labour problems uses companion text concept 30481431-0ff0-47b1-995c-12fcdc0da7e7. Multi-select is a Form Builder concern and is not encoded in concept metadata.
PNC,,EMR.PND.DE15,Identified & Managed,,String,164170,2026-08-18,reuse-local,national,concepts,var.concept.national.complications-identified-and-managed.uuid,2d564238-249e-46fc-a8e2-dc6ea0ba7a7f,,verified,"Existing runtime-loaded Liberia Text concept reused. The DAK cites CIEL 164170, but that unavailable UUID is not substituted for the tested local concept."
PNC,,EMR.PND.DE16,Referred,,String,164169,2026-08-18,reuse-workflow,common,workflow,,,shared referral workflow,verified,Handled by the shared referral workflow; no PNC-specific referral observation is created.
PNC,,EMR.PND.DE17,HIV Test Results,,Coding,164817,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
PNC,,EMR.PND.DE18,Results at initial PNC visit,HIV Test Results,Code,,2026-08-18,reuse-local,national,concepts,var.concept.national.hiv-test-results-at-initial-pnc-visit.uuid,da0be8c8-ecd0-4680-b0f8-8fd4fcd40ddd,,verified,Existing question retained; answers corrected to CIEL Negative 664 / Positive 703 / Unknown 1067 and Poor sample quality 1304 removed.
PNC,,EMR.PND.DE19,Results at PNC re-test,HIV Test Results,Code,,2026-08-18,reuse-local,national,concepts,var.concept.national.results-at-pnc-re-test.uuid,c5a63b81-253a-486f-961f-6740e647645e,,verified,Existing UUID retained and name corrected to Results at PNC re-test; answers are CIEL Negative 664 / Positive 703 / Unknown 1067. Available at every catch-up contact; not gated to six weeks.
PNC,,EMR.PND.DE20,Prevention Maternal,,String,,2026-08-18,reuse-local,national,concepts,var.concept.national.preventive-interventions-provided-during-the-post-partum-period.uuid,e6ab5fca-bf10-486a-ad47-1407b284b6a9,,verified,Existing runtime-loaded Liberia Text concept reused; the form label follows the DAK while the terminology name is more descriptive.
PNC,,EMR.PND.DE21,Vitamin A for mother at 6 wks,,Boolean,,2026-08-18,reuse-local,national,concepts,var.concept.national.vitamin-a-for-mother-at-6-wks.uuid,996b496d-1c9d-4492-bb84-a0106ea635d1,,verified,Existing loaded concept retained. Current live workbook has DE21 only; obsolete DE31 is not resurrected.
PNC,,EMR.PND.DE22,Counselled mother on danger signs,,Boolean,,2026-08-18,reuse-local,national,concepts,var.concept.national.counselled-mother-on-danger-signs.uuid,8d4ec3fc-02ee-48a6-a81d-1139084bbc39,,verified,Existing runtime-loaded Liberia Coded question reused with Yes/No answers; the DAK supplies no CIEL code.
PNC,,EMR.PND.DE23,Counselled mother on breastfeeding,,Boolean,,2026-08-18,reuse-local,national,concepts,var.concept.national.counselled-mother-on-breastfeeding.uuid,0ba5cb49-e3b7-4691-97da-5fbfdeaea6e1,,verified,Existing runtime-loaded Liberia Coded question reused with Yes/No answers; the DAK supplies no CIEL code.
PNC,,EMR.PND.DE26,Breast,,String,,2026-08-18,reuse-local,national,concepts,var.concept.national.assessment-findings-of-the-mother-s-breasts.uuid,c90bfabb-f548-47d7-a62e-f4b8a9765362,,verified,Existing runtime-loaded Liberia Text concept reused; the shorter form label follows the DAK.
PNC,,EMR.PND.DE27,Fundal height,,Numeric,,2026-08-18,reuse-local,national,concepts,var.concept.national.fundal-height-cm.uuid,c696ec1b-25d0-4cd2-aa24-1329b4e815cd,,verified,Existing runtime-loaded Liberia Numeric concept Fundal height (cm) reused; the DAK supplies neither type nor CIEL code.
PNC,,EMR.PND.DE28,Hb,,Numeric,,2026-08-18,reuse-ciel,national,concepts,var.concept.ciel.haemoglobin.uuid,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,verified,Runtime-loaded CIEL Haemoglobin concept reused; the DAK row supplies no CIEL code.
PNC,,EMR.PND.DE29,Perineum,,String,,2026-08-18,reuse-local,national,concepts,var.concept.national.assessment-of-the-condition-of-the-perineum.uuid,0d494d1e-825f-410b-8113-68f3b00823d3,,verified,Existing runtime-loaded Liberia Text concept reused; the shorter form label follows the DAK.
PNC,,EMR.PND.DE30,Lochia,,String,,2026-08-18,reuse-local,national,concepts,var.concept.national.lochia-assessment.uuid,6639987b-31f1-4e76-b579-b2e6f235cb55,,verified,Existing runtime-loaded Liberia Text concept reused; the shorter form label follows the DAK.
PNC,,EMR.PND.DE31,Vit A administered?,,Boolean,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
PNC,,EMR.PND.DE32,General health status,,String,,2026-08-18,reuse-local,national,concepts,var.concept.national.general-health-status.uuid,e27162a2-b07f-4fa1-b794-c6a07ee06da1,,verified,Existing runtime-loaded Liberia Text concept reused; the DAK supplies no CIEL code.
PNC,,EMR.PND.DE33,Intervention,,String,,2026-08-18,reuse-local,national,concepts,var.concept.national.intervention.uuid,d2e68a76-2b09-4bed-96b4-13f94a34ef4e,,verified,Existing runtime-loaded Liberia Text concept reused; the DAK supplies neither type nor CIEL code.
PNC,,EMR.PND.DE34,Infant Assessment,,,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
PNC,,EMR.PND.DE35,Child ID,,,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
PNC,,EMR.PND.DE36,Temperature recording,,Numeric,5088,2026-08-19,reuse-ciel,common,concepts,var.concept.ciel.temperature.uuid,CIEL 5088,newborn-pnc.json#temperature,verified,Recorded in Newborn PNC form.
PNC,,EMR.PND.DE37,Complications,,Coding,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
PNC,,EMR.PND.DE38,Identified and managed,,Text,,2026-08-19,reuse-local,national,concepts,var.concept.national.complications-identified-and-managed.uuid,local,newborn-pnc.json#complicationsIdentifiedAndManaged,verified,Text description of complications identified and managed in Newborn PNC.
PNC,,EMR.PND.DE39,Referred,,String,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
PNC,,EMR.PND.DE40,Received Kangaroo care,,Boolean,,2026-08-19,reuse-local,national,concepts,var.concept.national.received-kangaroo-care.uuid,local,newborn-pnc.json#receivedKangarooCare,verified,Coded Yes/No in Newborn PNC form. Conditionally shown when birth weight < 2.5 kg.
PNC,,EMR.PND.DE41,Nevirapine start date,,Date,,2026-08-19,reuse-local,national,concepts,var.concept.national.nevirapine-start-date.uuid,local,newborn-pnc.json#nevirapineStartDate,verified,Date Nevirapine started in Newborn PNC.
PNC,,EMR.PND.DE42,Chlorhexidine admnistration,,Coded,,2026-08-19,reuse-local,national,concepts,var.concept.national.chlorhexidine-administration.uuid,local,newborn-pnc.json#chlorhexidineAdministration,verified,Coded Before/After 24hrs in Newborn PNC.
PNC,,EMR.PND.DE43,Before 24hrs,Chlorhexidine admnistration,Code,,2026-08-19,reuse-local,national,concepts,var.concept.national.before-24hrs.uuid,local,newborn-pnc.json#chlorhexidineAdministration,verified,Answer code for Chlorhexidine administration.
PNC,,EMR.PND.DE44,After 24hrs,Chlorhexidine admnistration,Code,,2026-08-19,reuse-local,national,concepts,var.concept.national.after-24hrs.uuid,local,newborn-pnc.json#chlorhexidineAdministration,verified,Answer code for Chlorhexidine administration.
Family Planning,,EMR.FP.DE1,Name of the Health facility,,,162724,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE2,County,,,167131,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE3,District,,,161564,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE4,Date,,Date,163757,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE5,MRN,,Quantity,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE6,Full Name,,String,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE7,Age,,,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE8,Sex,,List - select one,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE9,Male,Sex,List value,167865,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
